instance,ea,vns,opt,maxTime
LGF-Berlin-100-80000-1-bitVector-none,0.197309197651663,0.224070450097848,73,1e+06
LGF-Berlin-100-80000-2-bitVector-none,0.335010482180293,0.380862533692723,63,1e+06
LGF-Berlin-100-80000-3-bitVector-none,0.212159714525155,0.250385228839447,71,1e+06
LGF-Berlin-150-80000-1-bitVector-none,0.210661358106614,0.234041141340411,55,1e+06
LGF-Berlin-150-80000-2-bitVector-none,0.219035202086049,0.22230650705227,55,1e+06
LGF-Berlin-150-80000-3-bitVector-none,0.239506007713056,0.246817806906084,57,1e+06
LGF-Berlin-50-80000-1-bitVector-none,0.253094274146906,0.255668016194332,133,1e+06
LGF-Berlin-50-80000-2-bitVector-none,0.265631291343112,0.288840954846132,122,1e+06
LGF-Berlin-50-80000-3-bitVector-none,0.339612356147789,0.357601453664446,127,1e+06
LGF-brazil58-gen4-45.oplib-11428-bitVector-none,0.68301060863334,0.696890626703846,92,1e+06
LGF-gr120-gen4-85.oplib-5901-bitVector-none,0.934961162086687,0.941211210976306,43,1e+06
LGF-gr48-gen4-80.oplib-4037-bitVector-none,0.932441880087752,0.928291318777573,107,1e+06
LGF-hk48-gen4-80.oplib-9169-bitVector-none,0.888287172529128,0.89566685336089,109,1e+06
LGF-Leipzig-100-80000-1-bitVector-none,0.834142486169132,0.852056753603553,51,1e+06
LGF-Leipzig-100-80000-2-bitVector-none,0.794021352313167,0.807829181494662,50,1e+06
LGF-Leipzig-100-80000-3-bitVector-none,0.853817668841474,0.871944983248104,53,1e+06
LGF-Leipzig-150-80000-1-bitVector-none,0.693637963268448,0.728197514571649,42,1e+06
LGF-Leipzig-150-80000-2-bitVector-none,0.638773128854809,0.677446241040173,42,1e+06
LGF-Leipzig-150-80000-3-bitVector-none,0.703675397762801,0.728965469325366,37,1e+06
LGF-Leipzig-50-80000-1-bitVector-none,0.983968192894703,0.983968192894703,113,1e+06
LGF-Leipzig-50-80000-2-bitVector-none,0.967172167707404,0.967172167707404,118,1e+06
LGF-Leipzig-50-80000-3-bitVector-none,0.938461538461538,0.940590659340659,104,1e+06
mean,0.596290481977774,0.612764784803572,78.0454545454545,1e+06
