instance,gsr,vns
LGF-Berlin-100-80000-1-bitVector-none,0.842518747768123,1
LGF-Berlin-100-80000-2-bitVector-none,0.614040660736976,1
LGF-Berlin-100-80000-3-bitVector-none,0.758700953225449,1
LGF-Berlin-150-80000-1-bitVector-none,0.743865030674847,1
LGF-Berlin-150-80000-2-bitVector-none,0.892126069533196,1
LGF-Berlin-150-80000-3-bitVector-none,0.925835523845287,1
LGF-Berlin-50-80000-1-bitVector-none,1,0.973982483256054
LGF-Berlin-50-80000-2-bitVector-none,1,0.973605411999557
LGF-Berlin-50-80000-3-bitVector-none,0.88615965989608,1
LGF-brazil58-gen4-45.oplib-11428-bitVector-none,0.914798384351811,1
LGF-gr120-gen4-85.oplib-5901-bitVector-none,0.87300901320191,1
LGF-gr48-gen4-80.oplib-4037-bitVector-none,0.983561321883854,1
LGF-hk48-gen4-80.oplib-9169-bitVector-none,0.972741494975208,1
LGF-Leipzig-100-80000-1-bitVector-none,0.900972590627763,1
LGF-Leipzig-100-80000-2-bitVector-none,0.82315863710495,1
LGF-Leipzig-100-80000-3-bitVector-none,0.897810218978102,1
LGF-Leipzig-150-80000-1-bitVector-none,0.695612776561202,1
LGF-Leipzig-150-80000-2-bitVector-none,0.716412401574804,1
LGF-Leipzig-150-80000-3-bitVector-none,0.76891917651544,1
LGF-Leipzig-50-80000-1-bitVector-none,0.911741657415268,1
LGF-Leipzig-50-80000-2-bitVector-none,0.968609727602533,1
LGF-Leipzig-50-80000-3-bitVector-none,0.981712233379755,1
mean,0.866923012720571,0.997617631602528
