instance,ea,gsr,vns
LGF-Berlin-100-80000-1-time,0.218934952380952,0.209426934523809,0.228545178571429
LGF-Berlin-100-80000-2-time,0.373565610062893,0.345759924528302,0.388630264150944
LGF-Berlin-100-80000-3-time,0.236182111324376,0.242844325015996,0.255252245681382
LGF-Berlin-150-80000-1-time,0.235775636658556,0.22359406731549,0.25663697485807
LGF-Berlin-150-80000-2-time,0.233120973489787,0.225883220338983,0.245321442850934
LGF-Berlin-150-80000-3-time,0.264485535789919,0.24742611605252,0.269282494705633
LGF-Berlin-50-80000-1-time,0.257416448717949,0.250859769230769,0.257666217948718
LGF-Berlin-50-80000-2-time,0.273668362573099,0.281366771929825,0.291196900584796
LGF-Berlin-50-80000-3-time,0.355022358974359,0.332006384615385,0.361499410256411
LGF-brazil58-gen4-45.oplib-11428-time,0.702595067478801,0.695182208288548,0.711216483936463
LGF-gr120-gen4-85.oplib-5901-time,0.965703875434466,0.946214130507904,0.967651496243974
LGF-gr48-gen4-80.oplib-4037-time,0.938925470048724,0.920708903697334,0.941402324448266
LGF-hk48-gen4-80.oplib-9169-time,0.903639488392089,0.886305306678133,0.904034527085125
LGF-Leipzig-100-80000-1-time,0.862270166346769,0.85046667306462,0.878620876519513
LGF-Leipzig-100-80000-2-time,0.819555367734282,0.799314104389086,0.826434822064057
LGF-Leipzig-100-80000-3-time,0.88759046728972,0.858137370716511,0.90276769470405
LGF-Leipzig-150-80000-1-time,0.73997396073903,0.719173741339492,0.772071389530408
LGF-Leipzig-150-80000-2-time,0.695177530143913,0.69144707117853,0.731566351614158
LGF-Leipzig-150-80000-3-time,0.740018080548415,0.722185754070266,0.775035419880034
LGF-Leipzig-50-80000-1-time,0.992651038647343,0.982387608695652,0.99265425120773
LGF-Leipzig-50-80000-2-time,0.975341040935673,0.961915906432749,0.975341052631579
LGF-Leipzig-50-80000-3-time,0.949461857142857,0.939312785714287,0.949899476190476
mean,0.619139790947908,0.605996321742009,0.631033058893825
